step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,218,0,24,62,280,0,94.0,0.43119266055045874,8.268074234160308,0,8.0,0.5938227151813358,0,4.0,0.7546887289166878,0,6.0,0.36429066624969286,3,24.0,0.7221142589479647,0,2.0,0.5503405557066944,0,8.0,0.9220121548267807,1,9.0,0.25831405492568377,5,28.0,0.48012692917471805,0,4.0,0.8930123392942036,1,11.0,0.3666308118599032,0,13.0,0.3845677903041661,6,28.0,0.15755644275525946,3,29.0,0.7060627684678421,3,13.0,0.5634269196403521,0,18.0,0.6878848617377419,2,30.0,0.4559527667971219,24,235.0
110.0,225,0,34,71,296,0,131.0,0.5822222222222222,8.159984820452312,3,9.0,0.6711299812991914,1,6.0,0.5452098568538726,4,21.0,0.44868494961691574,0,11.0,0.5347348672826734,1,6.0,0.6836428582288541,2,6.0,0.41219610428720077,4,25.0,0.3095504593927946,1,22.0,0.5578033870430894,1,3.0,0.614856752907178,3,20.0,0.6756001225502057,2,14.0,0.7472236281224068,1,33.0,0.6508281575706074,1,15.0,0.40140678483094505,3,30.0,0.7174800300776142,1,3.0,0.6104497853074249,6,36.0,0.30761172547062815,34,260.0
115.0,234,0,29,78,312,0,80.0,0.3418803418803419,8.181910987885345,0,5.0,0.6288165100642461,1,10.0,0.3960460455900219,0,26.0,0.7181912640192086,5,19.0,0.24761763394067635,0,6.0,0.8302324689136058,6,35.0,0.16822464603538362,0,15.0,0.6755533306558418,4,18.0,0.5849845982977614,2,9.0,0.524070370557092,1,14.0,0.7350364003421549,1,5.0,0.8046766508834606,0,11.0,0.8168775150474926,4,11.0,0.21904378162949648,1,18.0,0.6619674361978387,3,6.0,0.4542914646601856,1,34.0,0.4269579353836076,29,242.0
120.0,234,0,37,86,320,0,142.0,0.6068376068376068,8.111364060706094,2,5.0,0.6664799508140652,3,18.0,0.5850764266094831,1,10.0,0.5841719580644776,3,33.0,0.41879694088041725,1,6.0,0.48980216464482085,0,33.0,0.6552499946995192,0,4.0,0.8278514968750101,2,21.0,0.2929464268751784,2,16.0,0.7396607260301558,2,12.0,0.49019792332829165,3,12.0,0.5314801536557292,2,7.0,0.35468968191385736,3,27.0,0.4024681936466541,6,29.0,0.2830954709302432,4,28.0,0.6151710492499731,3,22.0,0.7093425238427337,37,283.0
125.0,242,0,26,94,336,0,90.0,0.371900826446281,7.836291801812523,2,4.0,0.6159430734320553,1,13.0,0.6153256647103006,1,12.0,0.2248365302879831,4,33.0,0.5863453428003561,1,8.0,0.48574288503547447,0,8.0,0.9311210390488763,0,4.0,0.6167971899725484,6,27.0,0.39600022031681065,0,3.0,0.8266333662062451,1,12.0,0.4499311435821486,2,12.0,0.34582551886414387,3,16.0,0.21969006724953583,4,29.0,0.456853408439401,0,31.0,0.47279630526351074,0,19.0,0.6648669094862147,1,15.0,0.6058051102800792,26,246.0
130.0,246,0,40,106,352,0,153.0,0.6219512195121951,8.37703128689871,3,17.0,0.6183969220631569,2,12.0,0.4308812010898379,7,36.0,0.4224533944146335,1,27.0,0.502855688707477,2,11.0,0.6488885007808504,2,8.0,0.3991198976797326,1,5.0,0.3430286977192911,1,34.0,0.6512693653799189,2,6.0,0.6577409387124511,2,15.0,0.7386382863389883,4,24.0,0.6526986048502279,2,21.0,0.6890580044213724,0,22.0,0.47457014996837976,2,16.0,0.7442849044743264,3,9.0,0.6164969430060758,6,22.0,0.24007085984742568,40,285.0
135.0,240,0,28,120,360,0,94.0,0.39166666666666666,8.108268526872967,0,11.0,0.5697446706867209,7,39.0,0.35573765390660966,2,44.0,0.6336621849096078,7,37.0,0.4292733158564735,0,8.0,0.7549652053931546,1,12.0,0.23496434490491733,0,12.0,0.2993928580785799,1,8.0,0.5809435061082721,1,3.0,0.5343377888489127,0,4.0,0.8390021272569738,0,18.0,0.6349319520523036,1,12.0,0.8072848437847859,0,8.0,0.703952758414197,1,10.0,0.535595233624997,1,7.0,0.3363132873812023,6,41.0,0.12019554803265979,28,274.0
140.0,243,0,46,133,376,0,216.0,0.8888888888888888,8.396061675221109,3,9.0,0.6176817328605905,7,76.0,0.526500583483822,3,27.0,0.4660501082966061,3,44.0,0.3824085803775041,2,8.0,0.6103480821181421,1,14.0,0.7465046015370437,0,8.0,0.8833171044046483,5,25.0,0.3647211291869217,1,6.0,0.7327670752298392,2,5.0,0.6132825423023451,3,7.0,0.5156481415319865,3,17.0,0.3912163456069153,3,12.0,0.5756782478393815,6,29.0,0.4291060734905192,3,19.0,0.6276107326162218,1,32.0,0.6612336756951227,46,338.0
145.0,243,0,30,149,392,0,117.0,0.48148148148148145,7.894191282461987,2,10.0,0.5920529668776953,2,66.0,0.6017467792627603,4,33.0,0.1171312447638038,7,48.0,0.42838845955421945,1,7.0,0.408889532952306,0,8.0,0.867265255913161,0,6.0,0.9029007226596402,1,27.0,0.4274093907975836,1,15.0,0.6649921506321512,0,4.0,0.4812041677907567,3,14.0,0.4295959752994712,3,23.0,0.25172301821321136,4,34.0,0.4667997385317837,1,32.0,0.5296158030427277,0,11.0,0.7390679669654873,1,19.0,0.7797590366970734,30,357.0
150.0,242,0,36,158,400,0,173.0,0.7148760330578512,8.105831891946892,4,21.0,0.5008525066581092,1,21.0,0.48614968773551137,5,42.0,0.23078422565380674,1,42.0,0.4220314269597336,3,15.0,0.6308675070818797,0,4.0,0.5712551677811728,0,2.0,0.4879234896914154,3,20.0,0.6910910797370354,1,20.0,0.8128491790175429,3,13.0,0.5253485865825082,3,25.0,0.6704228364267298,4,23.0,0.572330432933814,1,31.0,0.4860694462029993,2,14.0,0.663607725920816,3,9.0,0.5545022554521621,2,10.0,0.2823469453500497,36,312.0
