step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,233,0,38,47,280,0,123.0,0.5278969957081545,8.13712816619575,3,14.0,0.5762789738451916,3,34.0,0.587090364314003,0,4.0,0.8588153114936934,6,27.0,0.5141137861021384,0,8.0,0.45237004029059275,6,38.0,0.5028778479199562,4,8.0,0.1621881175970859,0,4.0,0.7339468960558541,3,18.0,0.5549126829948579,5,14.0,0.29681818320748393,1,5.0,0.4397941904502072,0,8.0,0.8991072755278467,0,4.0,0.847009231593664,2,23.0,0.5605815931458912,3,19.0,0.46649764823350276,2,14.0,0.4692401503365516,38,242.0
110.0,235,0,26,61,296,0,94.0,0.4,8.437373942884735,0,8.0,0.6038182043300754,5,29.0,0.5893700396478466,0,4.0,0.7309739228621471,0,29.0,0.6324724912213088,4,15.0,0.5012764218147548,0,34.0,0.4241788712740962,2,22.0,0.27516071595961633,0,8.0,0.813774671624634,1,12.0,0.6706096431573983,6,37.0,0.3539908358464025,0,11.0,0.45516778898269655,0,4.0,0.8951639703104638,0,4.0,0.8970434617599966,2,18.0,0.74229508102308,2,21.0,0.3613213258824466,4,25.0,0.6452051255547622,26,281.0
115.0,234,0,27,78,312,0,93.0,0.3974358974358974,8.439554445859986,3,10.0,0.6985005536091137,1,28.0,0.36784016199213415,0,4.0,0.9203527076429134,4,11.0,0.3524944511582777,0,13.0,0.6729932612272066,5,33.0,0.42653672380545593,0,7.0,0.8493497594861174,0,4.0,0.774852775940523,3,17.0,0.6346670010682577,2,22.0,0.6021549040888264,2,11.0,0.6883445123022816,2,7.0,0.35855103482226436,1,1.0,0.67127380254105,0,4.0,0.5767683040506462,3,19.0,0.5866072168402378,1,20.0,0.3989926949359208,27,211.0
120.0,231,0,33,89,320,0,113.0,0.48917748917748916,8.40073705757884,1,5.0,0.6243786362757057,5,29.0,0.34989402638463113,0,0.0,0.9135511849236038,2,21.0,0.23431218753138364,3,16.0,0.6750545584181726,2,37.0,0.5229663657655166,0,4.0,0.9171671419924982,0,4.0,0.9135363080905528,1,14.0,0.4343795705905426,1,16.0,0.572890781160461,0,7.0,0.7773635454216807,3,23.0,0.5624874469487346,1,8.0,0.7525018115867167,6,27.0,0.32092095824890016,2,21.0,0.5807325157814566,6,25.0,0.17928828336764963,33,257.0
125.0,237,0,32,99,336,0,109.0,0.459915611814346,8.270049329836773,2,9.0,0.6582000667071914,3,40.0,0.5280047224842233,0,2.0,0.734565725695155,4,22.0,0.48771654582190643,1,14.0,0.4579612370603982,3,26.0,0.48275942487772633,2,2.0,0.2770436701484991,0,0.0,0.8225506667401115,5,24.0,0.38026986195371304,3,22.0,0.4401030462577743,2,7.0,0.46040203701395177,0,13.0,0.8138581471805121,0,4.0,0.7702413771599206,2,35.0,0.44478914767324246,5,27.0,0.3591556105780755,0,28.0,0.5644514309006267,32,275.0
130.0,231,0,26,121,352,0,101.0,0.43722943722943725,8.411058475335,1,4.0,0.6346590160252947,4,32.0,0.5985576481106928,0,4.0,0.6233127850589999,0,16.0,0.6115561372185109,7,33.0,0.393697452962944,2,30.0,0.39970920591324854,4,23.0,0.22825424122700616,0,2.0,0.8041424683703104,1,28.0,0.6496402712741774,1,18.0,0.5422123944546856,1,11.0,0.40155579667604413,0,2.0,0.8329676272890623,0,4.0,0.8749475806075682,2,22.0,0.7348660810907408,3,35.0,0.3631566928747069,0,8.0,0.8697085082119095,26,272.0
135.0,226,0,32,134,360,0,112.0,0.49557522123893805,8.527764405718179,3,13.0,0.5592533879387808,2,33.0,0.3057550789207503,0,4.0,0.8551828546419763,4,14.0,0.5260298896510803,2,40.0,0.5206136954430475,6,35.0,0.457988033775463,0,19.0,0.7665343654462536,0,4.0,0.8761311400173606,2,11.0,0.6927929666627196,3,12.0,0.6255377451308641,3,17.0,0.6371025843160163,1,3.0,0.4683401053565281,0,0.0,0.7359653214478185,2,15.0,0.6073295996533901,2,17.0,0.6135758383731863,2,11.0,0.5689662942618111,32,248.0
140.0,229,0,39,147,376,0,173.0,0.7554585152838428,8.42708029662198,1,11.0,0.5753456961706992,6,36.0,0.3726146666893348,0,0.0,0.8668052939174405,1,13.0,0.4316815330816873,2,21.0,0.6798533400172774,3,42.0,0.3390536565887889,0,4.0,0.8892909006436476,0,2.0,0.8888280129021306,4,25.0,0.4900468373338211,0,10.0,0.7352032601652909,1,12.0,0.6567595918365372,3,22.0,0.5399573219614678,0,0.0,0.9407056896021361,7,40.0,0.23927243613117727,4,28.0,0.6057904126850213,7,32.0,0.3035441065887869,39,298.0
145.0,242,0,32,150,392,0,107.0,0.44214876033057854,7.856525493112674,3,15.0,0.6128781451883496,1,33.0,0.5739845641728946,0,4.0,0.6502525028535663,6,26.0,0.44189126817141483,1,16.0,0.4481342486168649,7,46.0,0.3533129629426924,1,5.0,0.6032952526238776,0,0.0,0.941606961459501,3,25.0,0.3562995618390298,2,6.0,0.6603907350201508,2,13.0,0.41703984727716126,0,12.0,0.8239825948368136,0,4.0,0.7930619929427447,2,46.0,0.43125918487718085,1,15.0,0.4012527507502285,3,49.0,0.15566334483593194,32,315.0
150.0,233,0,45,167,400,0,203.0,0.871244635193133,8.226095801894076,0,8.0,0.6039811070508682,3,18.0,0.6564549203195285,0,4.0,0.5523928503439042,6,56.0,0.5906745192115989,7,34.0,0.27088930552815554,3,50.0,0.5441564764506909,6,27.0,0.1829105155507289,0,0.0,1.0,2,17.0,0.6799538787260265,6,27.0,0.3414453797932185,2,21.0,0.3927753747134652,0,4.0,0.8544668774078286,0,4.0,0.847845279187389,2,24.0,0.7353160383385366,5,25.0,0.4226506428773151,3,37.0,0.6478041638201418,45,356.0
