step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
780.0,448,0,162,680,1128,0,4750.0,10.602678571428571,6.32302378663583,162,11319.0,0.36298605741876316,162,11319.0
785.0,449,0,160,694,1143,0,4881.0,10.870824053452116,6.553047438810433,160,11183.0,0.3766455696445464,160,11183.0
790.0,450,0,156,708,1158,0,5531.0,12.29111111111111,6.896082015441233,156,11148.0,0.4028583846865115,156,11148.0
795.0,458,0,162,712,1170,0,6314.0,13.786026200873362,7.127217829858452,162,11251.0,0.40453765542078746,162,11251.0
800.0,471,0,170,716,1187,0,7146.0,15.171974522292993,7.476325439482954,170,11598.0,0.4281843713312193,170,11598.0
805.0,483,2,175,721,1204,0,8014.0,16.592132505175982,7.7742908740667875,175,12017.0,0.44216301202332825,175,12017.0
810.0,492,2,183,728,1220,0,8913.0,18.115853658536587,7.857504473796729,183,12725.0,0.44169096676399106,183,12725.0
815.0,504,2,189,730,1234,0,9843.0,19.529761904761905,7.7219908392736345,189,13603.0,0.4181120457226207,189,13603.0
820.0,514,1,200,734,1248,0,10828.0,21.06614785992218,7.614568055263076,200,14572.0,0.39353878714770785,200,14572.0
825.0,524,1,214,736,1260,0,11880.0,22.671755725190838,7.461625280827053,214,15621.0,0.3691955529773485,214,15621.0
830.0,530,0,223,745,1275,0,12977.0,24.484905660377358,7.3472045447862735,223,16718.0,0.36267444689734585,223,16718.0
835.0,540,2,228,752,1292,0,14113.0,26.135185185185186,7.357237592350385,228,17854.0,0.36697785217256385,228,17854.0
840.0,541,1,235,766,1307,0,15271.0,28.22735674676525,7.165770977542149,235,19012.0,0.3585215390793674,235,19012.0
845.0,542,2,247,779,1321,0,16479.0,30.404059040590408,6.97705615473225,247,20220.0,0.34753593719369874,247,20220.0
850.0,547,0,255,788,1335,0,17738.0,32.42778793418647,6.927964550541558,255,21479.0,0.34899106941760366,255,21479.0
855.0,537,0,262,807,1344,0,19031.0,35.43947858472998,6.540043967533152,262,22772.0,0.32711679967831714,262,22772.0
860.0,536,0,268,823,1359,0,20367.0,37.99813432835821,6.333723767208836,268,24108.0,0.31866620987702393,268,24108.0
865.0,537,0,275,840,1377,0,21730.0,40.465549348230915,6.146261920625945,275,25471.0,0.31892397508593934,275,25471.0
870.0,531,1,284,857,1388,0,23137.0,43.57250470809793,5.952178704542976,284,26878.0,0.3086533480787467,284,26878.0
875.0,536,2,292,866,1402,0,24583.0,45.86380597014925,5.877961742972381,292,28324.0,0.303098435977683,292,28324.0
880.0,534,2,302,880,1414,0,26065.0,48.81086142322097,5.635286106970668,302,29806.0,0.285273991349476,302,29806.0
885.0,538,1,304,889,1427,0,26687.0,49.60408921933085,5.316932592900118,304,31332.0,0.2675978333056547,304,31332.0
890.0,538,1,297,903,1441,0,24021.0,44.64869888475837,5.049960291617245,297,30846.0,0.2647488765303752,297,30846.0
895.0,539,0,286,913,1452,0,21798.0,40.44155844155844,5.026209979667075,286,31369.0,0.270266091358591,286,31369.0
900.0,552,0,273,915,1467,0,19849.0,35.958333333333336,5.252195939241105,273,30934.0,0.27759364421469945,273,30934.0
905.0,560,0,267,919,1479,0,18394.0,32.84642857142857,5.562699691397399,267,29781.0,0.2852384994582972,267,29781.0
910.0,559,0,252,928,1487,0,17174.0,30.722719141323793,5.743462749491915,252,29404.0,0.29159629635420675,252,29404.0
915.0,568,4,224,935,1503,0,15581.0,27.431338028169016,5.959781241191171,224,28147.0,0.30166909493370075,224,28147.0
920.0,576,0,208,941,1517,0,15097.0,26.210069444444443,6.206947211205137,208,27556.0,0.31242585040506954,208,27556.0
925.0,580,3,203,951,1531,0,15069.0,25.98103448275862,6.44395702498571,203,26860.0,0.32720308479292687,203,26860.0
930.0,585,4,199,960,1545,0,15444.0,26.4,6.702350141900414,199,26417.0,0.34801825826985466,199,26417.0
935.0,592,4,193,968,1560,0,15444.0,26.08783783783784,6.595188822466796,193,27291.0,0.3428594997651131,193,27291.0
940.0,601,0,203,975,1576,0,13886.0,23.104825291181363,6.32374740682887,203,26999.0,0.32549981600791805,203,26999.0
945.0,603,0,217,978,1581,0,13366.0,22.165837479270316,6.113072870779516,217,27479.0,0.30863691004899596,217,27479.0
950.0,606,2,234,985,1591,0,13296.0,21.940594059405942,5.897021035698301,234,27366.0,0.2934205882227987,234,27366.0
955.0,609,0,257,996,1605,0,13572.0,22.285714285714285,5.576807837344322,257,27743.0,0.27494892288596456,257,27743.0
960.0,606,1,278,1009,1615,0,14363.0,23.7013201320132,5.3944904334788015,278,28159.0,0.26569832781695113,278,28159.0
965.0,610,1,296,1021,1631,0,15534.0,25.465573770491805,5.149050901679946,296,28842.0,0.2539974642399728,296,28842.0
970.0,605,2,312,1041,1646,0,16518.0,27.302479338842975,4.75212121987799,312,30229.0,0.24540579745299287,312,30229.0
