step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
420.0,227,0,102,124,351,0,2700.0,11.894273127753303,6.591437645209839,102,3799.0,0.3644779137183032,102,3799.0
425.0,234,0,80,129,363,0,1487.0,6.354700854700854,6.820071415616774,80,3253.0,0.40603695666569994,80,3253.0
430.0,236,0,65,133,369,0,1253.0,5.309322033898305,7.175692694446891,65,3197.0,0.433291765368142,65,3197.0
435.0,245,0,57,138,383,0,1213.0,4.951020408163266,8.04064059558137,57,2735.0,0.5011210026951203,57,2735.0
440.0,255,0,58,141,396,0,1453.0,5.698039215686275,8.734082687310925,58,2610.0,0.5350128728407575,58,2610.0
445.0,260,2,66,146,406,0,1767.0,6.796153846153846,9.113921789289805,66,2688.0,0.5401879393798954,66,2688.0
450.0,271,0,71,149,420,0,2119.0,7.819188191881919,9.340521411858884,71,2824.0,0.5438787944043376,71,2824.0
455.0,278,0,80,152,430,0,2353.0,8.464028776978417,9.070396721498446,80,3189.0,0.5183239669624423,80,3189.0
460.0,284,0,82,154,438,0,2511.0,8.841549295774648,8.961352768868247,82,3308.0,0.5203070269600855,82,3308.0
465.0,287,0,84,158,445,0,2605.0,9.076655052264808,8.75056201003462,84,3736.0,0.5063135158617732,84,3736.0
470.0,293,0,63,161,454,0,1402.0,4.784982935153583,8.737511846966656,63,3269.0,0.5228966968641084,63,3269.0
475.0,304,3,54,162,466,0,756.0,2.486842105263158,8.635161964882254,54,3553.0,0.5028923083537569,54,3553.0
480.0,317,1,63,167,484,0,645.0,2.034700315457413,8.55955461493063,63,3714.0,0.4981060067994277,63,3714.0
485.0,322,1,78,174,496,0,903.0,2.8043478260869565,8.384503175276453,78,3897.0,0.49223333425366905,78,3897.0
490.0,322,0,75,181,503,0,992.0,3.080745341614907,8.04952671779124,75,3535.0,0.47673385665146845,75,3535.0
495.0,311,1,81,201,512,0,1145.0,3.6816720257234725,7.386559615268575,81,3926.0,0.44277246497065464,81,3926.0
500.0,304,0,96,214,518,0,1392.0,4.578947368421052,6.899230638495387,96,4197.0,0.4154377286014732,96,4197.0
505.0,302,0,110,225,527,0,1569.0,5.195364238410596,6.505726846683562,110,4724.0,0.3899748701057184,110,4724.0
510.0,304,2,105,234,538,0,1106.0,3.638157894736842,6.4201982204075305,105,4596.0,0.4016317624041167,105,4596.0
515.0,315,1,94,234,549,0,1249.0,3.965079365079365,6.747576433930844,94,4848.0,0.417153955165865,94,4848.0
520.0,317,0,114,241,558,0,1629.0,5.138801261829653,6.4411684122808985,114,5332.0,0.387073805666465,114,5332.0
525.0,319,0,139,246,565,0,2155.0,6.755485893416928,5.984231580069244,139,5851.0,0.35386663830636317,139,5851.0
530.0,329,1,163,249,578,0,2708.0,8.231003039513677,5.423825624872019,163,6506.0,0.31175540726173046,163,6506.0
535.0,334,1,160,252,586,0,2500.0,7.485029940119761,5.491160026024798,160,6207.0,0.32220303766846375,160,6207.0
540.0,341,0,147,254,595,0,2428.0,7.120234604105572,5.598957638501767,147,6964.0,0.32274295197388353,147,6964.0
545.0,350,0,145,256,606,0,2450.0,7.0,5.495169799699968,145,7577.0,0.31418657175762055,145,7577.0
550.0,355,1,157,262,617,0,2773.0,7.811267605633803,5.3899866729200445,157,8341.0,0.31398136342250405,157,8341.0
555.0,362,1,145,266,628,0,2928.0,8.088397790055248,5.252141750376496,145,7920.0,0.31006251660563866,145,7920.0
